[2026-03-17 20:24:47] 🚀🚀 2D 终极保守宇宙 (Grid=200 超高清抗锯齿·EPYC 防爆版) 启动 🚀🚀
[2026-03-17 20:24:47] 硬件自检：AMD EPYC 9754 并发严密封锁在 48 核，Numba 零拷贝结界已开启！
[2026-03-17 21:27:51] [Worker SUCCESS] eps=0.05141489738880018 | delta_a=0.007641057192405988 | MAE(100)=324.9071777330317 | 容量=190阶 | 耗时:3782.46s
[2026-03-17 22:07:20] [Worker SUCCESS] eps=0.04484809289196195 | delta_a=0.01095171941926662 | MAE(100)=386.5221964626279 | 容量=192阶 | 耗时:2369.60s
[2026-03-17 22:07:38] [Worker SUCCESS] eps=0.04331459185093714 | delta_a=0.011802131150132828 | MAE(100)=15.237051007042622 | 容量=191阶 | 耗时:2387.16s
[2026-03-17 22:08:01] [Worker SUCCESS] eps=0.04862523573066123 | delta_a=0.011661872849999899 | MAE(100)=172.69152695051534 | 容量=194阶 | 耗时:2409.82s
[2026-03-17 22:08:06] [Worker SUCCESS] eps=0.04798408913930472 | delta_a=0.00440237324400892 | MAE(100)=430.5195964426532 | 容量=195阶 | 耗时:2415.54s
[2026-03-17 22:08:17] [Worker SUCCESS] eps=0.0437610801348499 | delta_a=0.004247598717443732 | MAE(100)=45.243416773609304 | 容量=193阶 | 耗时:2426.22s
[2026-03-17 22:08:24] [Worker SUCCESS] eps=0.04542252151318288 | delta_a=0.008818851963380187 | MAE(100)=24.32225614712149 | 容量=190阶 | 耗时:2433.60s
[2026-03-17 22:08:37] [Worker SUCCESS] eps=0.04650559803963551 | delta_a=0.014696931991298127 | MAE(100)=25.806413992444874 | 容量=192阶 | 耗时:2446.26s
[2026-03-17 22:08:47] [Worker SUCCESS] eps=0.04671739159130924 | delta_a=0.019763215586006397 | MAE(100)=1044.3507355450474 | 容量=193阶 | 耗时:2456.60s
[2026-03-17 22:08:50] [Worker SUCCESS] eps=0.04857589118840106 | delta_a=0.0023072514480855667 | MAE(100)=55.988587225699376 | 容量=191阶 | 耗时:2458.97s
[2026-03-17 22:09:06] [Worker SUCCESS] eps=0.048727609246254265 | delta_a=0.01958610041137475 | MAE(100)=253.0949109967282 | 容量=191阶 | 耗时:2475.43s
[2026-03-17 22:09:23] [Worker SUCCESS] eps=0.04843000792027189 | delta_a=0.008557688731950171 | MAE(100)=9.99687630757685 | 容量=193阶 | 耗时:2492.55s
[2026-03-17 22:09:32] [Worker SUCCESS] eps=0.048010988147072414 | delta_a=0.011193514807994463 | MAE(100)=196.53084913728128 | 容量=192阶 | 耗时:2501.03s
[2026-03-17 22:09:37] [Worker SUCCESS] eps=0.04685429982703464 | delta_a=0.0016962827187493416 | MAE(100)=21.891135050252384 | 容量=190阶 | 耗时:2506.65s
[2026-03-17 22:10:01] [Worker SUCCESS] eps=0.04969734561651235 | delta_a=0.006746173538779203 | MAE(100)=215.77387080048166 | 容量=194阶 | 耗时:2529.88s
[2026-03-17 22:10:17] [Worker SUCCESS] eps=0.0498402474509452 | delta_a=0.007310367851160556 | MAE(100)=84.84213373598206 | 容量=192阶 | 耗时:2545.86s
[2026-03-17 22:10:17] [Worker SUCCESS] eps=0.049945066729167674 | delta_a=0.013890268711307743 | MAE(100)=51.762137352508205 | 容量=194阶 | 耗时:2545.87s
[2026-03-17 22:10:20] [Worker SUCCESS] eps=0.04680468412601477 | delta_a=0.015804576032467085 | MAE(100)=249.11042320652277 | 容量=190阶 | 耗时:2548.83s
[2026-03-17 22:10:24] [Worker SUCCESS] eps=0.04805291202940138 | delta_a=0.012906174351472222 | MAE(100)=56.03329687408002 | 容量=193阶 | 耗时:2552.94s
[2026-03-17 22:11:01] [Worker SUCCESS] eps=0.04820036693003717 | delta_a=0.018276381449603602 | MAE(100)=496.38452645815755 | 容量=192阶 | 耗时:2590.53s
[2026-03-17 22:12:13] [Worker SUCCESS] eps=0.043751478976412655 | delta_a=0.0032017128085588377 | MAE(100)=502.31301945498956 | 容量=190阶 | 耗时:2662.34s
[2026-03-17 22:12:31] [Worker SUCCESS] eps=0.043703082474492796 | delta_a=0.010885854084078264 | MAE(100)=79.94933028367547 | 容量=187阶 | 耗时:2680.23s
